10:02:18.935 [main] INFO  c.l.s.SpringBootLearningApplication - Starting SpringBootLearningApplication on fyz-rescuer with PID 16168 (E:\Github\SpringCloudLearning\target\classes started by fanyuzhuo in E:\Github\SpringCloudLearning)
10:02:18.937 [main] INFO  c.l.s.SpringBootLearningApplication - No active profile set, falling back to default profiles: default
10:02:19.432 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
10:02:19.434 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
10:02:19.453 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 0 repository interfaces.
10:02:19.642 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$fa364876] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:02:19.676 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$33ca8a48] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:02:19.908 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
10:02:19.923 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
10:02:19.931 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
10:02:19.931 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
10:02:19.937 [main] INFO  o.a.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_201\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files\Python\Scripts\;C:\Program Files\Python\;D:\JavaTools\apache-maven-3.6.0\bin;C:\Program Files\Java\jdk1.8.0_201\bin;C:\Program Files\Java\jdk1.8.0_201\jre\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\Program Files\Git\cmd;D:\Program Files\TortoiseGit\bin;D:\Program Files\MySQL\MySQL Server 5.5\bin;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files\Go\bin;C:\Users\fanyuzhuo\AppData\Local\Microsoft\WindowsApps;;D:\Program Files\JetBrains\DataGrip 2018.3.4\bin;;D:\Program Files\Microsoft VS Code\bin;C:\Users\fanyuzhuo\go\bin;.]
10:02:20.019 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:02:20.020 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1045 ms
10:02:20.450 [main] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
10:02:20.938 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
10:02:20.953 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
10:02:20.955 [main] INFO  c.l.s.SpringBootLearningApplication - Started SpringBootLearningApplication in 2.445 seconds (JVM running for 3.762)
10:03:06.370 [http-nio-8088-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:03:06.371 [http-nio-8088-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
10:03:06.376 [http-nio-8088-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
10:03:06.385 [http-nio-8088-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Filter已经截获到用户的请求地址： /easyexcel/exportExcel
10:03:06.417 [http-nio-8088-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
10:03:06.561 [http-nio-8088-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
10:03:07.126 [http-nio-8088-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - 过滤结束
10:03:07.126 [http-nio-8088-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - 请求被定位到/easyexcel/exportExcel所花的时间为: 741
10:04:05.093 [http-nio-8088-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Filter已经截获到用户的请求地址： /easyexcel/exportExcel
10:05:11.531 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m1s184ms443µs100ns).
10:05:17.103 [http-nio-8088-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - 过滤结束
10:05:17.104 [http-nio-8088-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - 请求被定位到/easyexcel/exportExcel所花的时间为: 72010
10:54:19.866 [Thread-7] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
10:54:19.867 [Thread-7] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
10:54:19.872 [Thread-7] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
10:54:24.189 [main] INFO  c.l.s.SpringBootLearningApplication - Starting SpringBootLearningApplication on fyz-rescuer with PID 11532 (E:\Github\SpringCloudLearning\target\classes started by fanyuzhuo in E:\Github\SpringCloudLearning)
