11:05:07.935 [main] INFO  c.l.s.SpringBootLearningApplication - Starting SpringBootLearningApplication on DESKTOP-5LURS2I with PID 11608 (E:\Github\SpringCloudLearning\DemoUserService\target\classes started by laofa in E:\Github\SpringCloudLearning)
11:05:07.937 [main] INFO  c.l.s.SpringBootLearningApplication - No active profile set, falling back to default profiles: default
11:05:08.898 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
11:05:08.917 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
11:05:08.926 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
11:05:08.927 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
11:05:09.055 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:05:09.056 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1057 ms
11:05:09.495 [main] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
11:05:09.570 [main] INFO  c.l.s.interceptors.WebMvcCfgAdapter - 拦截器org.springframework.web.servlet.config.annotation.InterceptorRegistry@6dcd5639
11:05:10.135 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
11:05:10.164 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
11:05:10.168 [main] INFO  c.l.s.SpringBootLearningApplication - Started SpringBootLearningApplication in 2.824 seconds (JVM running for 3.808)
11:05:14.238 [Thread-4] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
11:08:44.860 [main] INFO  c.l.s.SpringBootLearningApplication - Starting SpringBootLearningApplication on DESKTOP-5LURS2I with PID 8412 (E:\Github\SpringCloudLearning\DemoUserService\target\classes started by laofa in E:\Github\SpringCloudLearning)
11:08:44.870 [main] INFO  c.l.s.SpringBootLearningApplication - No active profile set, falling back to default profiles: default
11:09:51.247 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
11:09:51.308 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
11:09:51.422 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
