16:11:01.727 [main] INFO  c.l.s.SpringBootLearningApplication - Starting SpringBootLearningApplication on fanyuzhuo with PID 11676 (E:\Github\SpringCloudLearning\DemoUserService\target\classes started by fyz in E:\Github\SpringCloudLearning)
16:11:01.729 [main] INFO  c.l.s.SpringBootLearningApplication - No active profile set, falling back to default profiles: default
16:11:02.650 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
16:11:02.672 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
16:11:02.680 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:11:02.681 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
16:11:02.775 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:11:02.776 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1018 ms
16:11:03.209 [main] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
16:11:03.237 [main] INFO  c.l.s.interceptors.WebMvcCfgAdapter - 拦截器org.springframework.web.servlet.config.annotation.InterceptorRegistry@35636217
16:11:03.326 [main] INFO  o.s.s.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
16:11:03.358 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
16:11:03.371 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
16:11:03.374 [main] INFO  c.l.s.SpringBootLearningApplication - Started SpringBootLearningApplication in 2.135 seconds (JVM running for 3.067)
19:44:17.555 [Thread-6] INFO  o.s.s.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
19:44:17.560 [Thread-6] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
